"","STB_a6_1","STB_a6_2","STB_b5_1","STB_b5_2","STB_d4_1","STB_d4_2","STB_wt_1","STB_wt_2"
"WASH7P",0.783708848244333,0.713904930993711,1.14317690576879,0.621780167925866,0.660920258759094,1.09568272955079,0.892976516453961,0.784044202382839
"FO538757.2",0.0489818030152708,0.380749296529979,0.190529484294798,0.0565254698114423,0.385536817609471,0.131481927546095,0.0992196129393289,0.0922404943979811
"FO538757.1",2.20418113568719,2.09412113091489,2.52451566690607,1.80881503396615,2.09291415273713,3.4623574253805,2.28205109760457,2.81333507913842
"AP006222.1",7.39625225530589,6.37755071687716,5.57298741562283,6.2743271490701,8.31657992271859,7.71360641603757,7.14381213163168,6.87191683264959
"RPL23AP24",0.391854424122167,0.19037464826499,0.190529484294798,0.621780167925866,0.165230064689773,0.350618473456253,0.0496098064696645,0.138360741596972
"AL732372.1",0.636763439198521,0.713904930993711,0.666853195031791,0.73483110754875,0.49569019406932,0.569755019366411,0.0992196129393289,0.276721483193943
"AL732372.2",0.244909015076354,0.523530282728722,0.476323710736994,0.565254698114423,0.165230064689773,0.350618473456253,0.248049032348322,0.322841730392934
"AL669831.3",3.57567162011477,3.52193099290231,2.76267752227456,2.60017161132635,3.02921785264585,4.25124899065707,4.16722374345182,3.87410076471521
"MTND1P23",15.4782497528256,15.6583148197954,13.7657552402991,17.127217352867,18.1202304276451,18.4074698564533,14.188404650324,17.1567319580245
"MTND2P28",26.0093374011088,28.7941655500797,26.2454364616084,31.7673140340306,31.5038656675168,29.057505987687,23.6142678795603,26.8881041170115
"MTCO1P12",23.8051562654216,16.2770324266566,19.2434779137745,23.1754426226914,31.6690957322066,24.3679839052096,21.1337775560771,24.397610768266
"MTCO2P12",19.9355938272152,17.2764993300478,18.2431981212269,22.8928152736341,23.4626691859478,22.0013092093799,18.8021166520028,19.554984812372
"MTATP6P1",179.714235263029,177.476765845037,193.91138264103,225.875777366524,192.768408804736,188.895702574556,167.879585093345,199.562309630032
"MTCO3P12",17.4865036764517,16.9433436955841,17.0047564733107,23.51459544156,18.230383804105,20.9056264798291,17.1153832320342,23.4290855770872
"AL669831.1",1.42047228744285,1.42780986198742,1.66713298757948,1.63923862453183,1.65230064689773,1.40247389382501,1.43868438762027,1.66032889916366
"AL669831.5",0.342872621106896,0.618717606861217,0.666853195031791,0.395678288680096,0.385536817609471,0.613582328548443,0.347268645287651,0.507322719188896
"AL669831.4",0.342872621106896,0.428342958596227,0.381058968589595,0.395678288680096,0.275383441149622,0.701236946912506,0.644927484105638,0.0922404943979811
"FAM87B",0,0.142780986198742,0,0.226101879245769,0.220306752919698,0.0438273091820316,0,0.230601235994953
"LINC01128",13.56795943523,13.849755661278,13.3370639006358,15.9967079566382,13.2734818634118,14.0247389382501,17.3634322643826,16.5110484972386
"LINC00115",1.71436310553448,1.57059084818617,1.81003010080058,1.35661127547462,1.92768408804736,1.57778313055314,1.09141574233262,0.922404943979811
"NOC2L",38.3037699579418,35.5524655634868,36.7245580978222,41.659271251033,40.9219793548339,51.4532609797051,37.9515019492933,35.3281093544268
"KLHL17",0.0979636060305416,0.0951873241324949,0.142897113221098,0.0565254698114423,0.330460129379547,0.26296385509219,0.347268645287651,0.322841730392934
"PLEKHN1",0,0,0.0476323710736994,0,0,0.219136545910158,0.0992196129393289,0
"PERM1",0.0489818030152708,0.0475936620662474,0.0952647421473988,0.0565254698114423,0.165230064689773,0.131481927546095,0.0992196129393289,0.0461202471989906
"HES4",0,0,0,0,0.0550766882299245,0,0.0496098064696645,0
"ISG15",109.033493511993,104.134932600949,94.9313155498829,81.8488802869685,169.911583189317,182.628397361526,274.391839583714,244.252829165854
"AL645608.4",0.58778163618325,0.571123944794969,0.238161855368497,0.452203758491539,1.10153376459849,1.22716465709689,1.33946477468094,1.19912642717375
"AL645608.2",0.0979636060305416,0.237968310331237,0.0952647421473988,0.0565254698114423,0.275383441149622,0.438273091820316,0.198439225878658,0.230601235994953
"AGRN",0.734727045229062,1.18984155165619,0.381058968589595,1.4696622150975,1.70737733512766,1.84074698564533,1.33946477468094,1.70644914636265
"AL390719.1",7.24930684626008,9.18557677878575,9.62173895688727,7.97009124341337,7.32519953457995,9.4228714741368,5.50668851813276,6.50295485505767
"AL645608.9",0.146945409045812,0.237968310331237,0.285794226442196,0.113050939622885,0.110153376459849,0.306791164274222,0.0992196129393289,0
"RNF223",0.930654257290145,0.761498593059959,0.76211793717919,0.73483110754875,0.771073635218943,1.13951003873282,1.73634322643826,1.52196815756669
"C1orf159",2.30214474171773,1.23743521372243,2.47688329583237,1.52618768490894,1.81753071158751,2.32284738664768,3.02619819464953,2.76721483193943
"TTLL10-AS1",0,0,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0
"TNFRSF18",0,0,0,0,0.165230064689773,0,0.148829419408993,0
"SDF4",2.10621752965664,3.04599437223984,2.38161855368497,2.65669708113779,3.80029148786479,2.80494778765003,2.2324412911349,2.81333507913842
"B3GALT6",0.195927212061083,0.142780986198742,0.142897113221098,0.282627349057212,0.275383441149622,0.0438273091820316,0.198439225878658,0.322841730392934
"C1QTNF12",0.146945409045812,0.0475936620662474,0.190529484294798,0.0565254698114423,0.385536817609471,0.0876546183640633,0.0992196129393289,0.184480988795962
"UBE2J2",8.2289429065655,9.3283577649845,6.38273772387572,6.78305637737308,15.8070095219883,27.4797228571338,16.6688949738073,10.8382580917628
"SCNN1D",0.391854424122167,0.19037464826499,0.238161855368497,0.282627349057212,0.110153376459849,0.394445782638285,0.644927484105638,0.507322719188896
