"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","STB_wt_1","STB_wt_2"
"ISG15",3150.33522622943,-0.958853380819227,0.35264112627206,-2.71906283579494,0.00654671701444228,0.0279717308857147,274.391839583714,244.252829165854
"AL390719.1",159.605501267114,0.608720220461976,0.178036469562839,3.41907600143196,0.000628341735272584,0.00416251622735781,5.50668851813276,6.50295485505767
"ATAD3B",125.660761234827,0.599016173549806,0.200486723670645,2.9878096792776,0.00280984469699196,0.0141843121723152,4.76254142108779,4.75038546149603
"ARHGEF16",425.864542283238,0.577091638031614,0.134398371821109,4.29388861049411,1.75570585084662e-05,0.000198047392306781,16.0735772961713,16.5571687444376
"LINC00337",92.1875257194888,0.6818281343239,0.255641987208525,2.66712108511243,0.00765041031575966,0.0317611762697106,3.91917471110349,2.72109458474044
"ACOT7",401.101737193812,-0.589398602912718,0.128820668106436,-4.57534191971225,4.75442850455379e-06,6.25974912825264e-05,29.5178348494504,26.6575028810165
"TNFRSF25",28.3533537297094,-0.946836202678156,0.356120775534663,-2.65875025476011,0.00784310781627895,0.0323057072524076,2.67892954936188,1.98317062955659
"PLEKHG5",18.6053654330234,-1.16935129446669,0.457135879602626,-2.55799500026813,0.0105277605878427,0.0413367975714609,1.68673341996859,1.66032889916366
"ZBTB48",128.458168948047,-0.501734298573843,0.194162333717232,-2.58409697168423,0.00976343390449054,0.0387951016072472,9.62430245511491,7.60984078783344
"PHF13",153.923728081371,0.603431521861615,0.176393684984709,3.42093608347672,0.000624059969877704,0.00413850295813635,5.90356696989007,5.71891065267483
"AL034417.4",191.20250025116,0.554727992013517,0.219144822958105,2.53133058096274,0.0113630696797008,0.0437709195855181,6.89576309928336,7.93268251822638
"ENO1",19601.6201194309,0.527537031647421,0.0843624686152759,6.25321947432791,4.020764639249e-10,1.44747527012964e-08,769.448098344496,772.975343055082
"H6PD",43.6021273611879,-0.901609762424078,0.275698282840921,-3.27027703304307,0.00107442205500189,0.00652105871532938,3.86956490463383,3.13617680953136
"SLC25A33",169.750175735018,0.541773468153351,0.148583907929272,3.64624592059622,0.000266099330430774,0.00202100757289196,6.6973238734047,6.54907510225666
"SRM",178.508259482851,1.14892289197714,0.166687620309018,6.89267079251106,5.47544906232801e-12,2.7358897031484e-10,5.45707871166309,4.33530323670511
"FBXO44",39.1869990594739,-0.888705555910516,0.285537672797838,-3.11239335672433,0.00185577048312375,0.0101531515794005,3.37346683993718,2.90557557353641
"MAD2L2",277.746133831848,-0.724633573509589,0.155604297269084,-4.65689949588277,3.21007052404606e-06,4.47421334103766e-05,20.4392402655018,20.8924719811427
"PLOD1",1982.01976813308,0.584669328779444,0.0779472591312832,7.50083242561116,6.34138178393053e-14,4.61857864031934e-12,74.3650998980271,76.6518508447223
"TNFRSF1B",821.69771574028,1.0196446102653,0.106545226964334,9.57006371206684,1.06839813521832e-21,1.81916439239877e-19,21.1833873625467,27.4415470833994
"DHRS3",280.478133251878,0.527738101300921,0.139140185631918,3.79285178400582,0.000148927054630277,0.00124435072171187,9.62430245511491,12.4524667437275
"EPHA2",1015.49173053102,1.26341149506019,0.101438188955215,12.4549886790465,1.31370127155809e-35,1.18233114440228e-32,27.0869543324368,24.8126929930569
"ARHGEF19",91.27079936186,1.84432535531587,0.244259092193719,7.55069274495282,4.32949142900474e-14,3.19015157926665e-12,1.73634322643826,1.52196815756669
"ALDH4A1",303.491918793953,-0.712010634441391,0.142590092898026,-4.99340886852911,5.93227840716472e-07,9.95295711455066e-06,21.8283148466524,23.1062438466943
"PQLC2",144.931783433048,-0.705946182026341,0.191765417929241,-3.68130077700885,0.000232047067768201,0.0018052382496485,11.7575241333105,9.63913166458903
"TMCO4",975.728920567399,-0.502417616500493,0.12341632640089,-4.0709169617357,4.68284412084079e-05,0.000464597133248771,65.7329935723054,65.4446307753676
"Z98257.1",50.5533167580138,1.92519917641798,0.359780274772404,5.35104148674035,8.74494689515401e-08,1.77804193329211e-06,0.694537290575303,1.01464543837779
"CDA",69.4934497269323,-1.4933196195598,0.223876814123853,-6.67027367440413,2.55326844614473e-11,1.14082207168169e-09,6.64771406693504,7.42535979903748
"LINC00339",161.213322575745,-0.53020161329089,0.205551084160589,-2.57941530912415,0.00989677227156276,0.0392506549013821,10.2196201327509,11.7606630357426
"ZNF436",227.616308286186,0.723698495892116,0.170868372016287,4.23541517574203,2.28129809647615e-05,0.00024758273915245,8.53288671278229,7.47148004623647
"TCEA3",14.2737334717184,-1.34315525907318,0.473995051295714,-2.83369046871172,0.00460138776042696,0.0210480742709479,1.04180593586295,1.70644914636265
"ASAP3",71.9867209144885,-1.18156976125526,0.326910955711799,-3.61434739524888,0.000301105105995273,0.00224094762878939,5.85395716342041,7.14863831584354
"HMGCL",628.46906877989,-0.54936032550831,0.105124608261968,-5.22580140455142,1.73402399962693e-07,3.30040821681259e-06,41.9202864668665,44.4137980526279
"GRHL3",67.0681347189416,0.877680238375431,0.264848289205976,3.3138980848498,0.000920050355482661,0.00572758620507981,2.2324412911349,2.07541112395457
"MAN1C1",140.791202207622,-0.502107574261364,0.175286324777995,-2.86449941201801,0.00417668930106903,0.0194840004418622,9.9219612939329,8.99344820380316
"SELENON",80.6402906784921,-0.872301092850011,0.234863189942422,-3.71408177272845,0.000203942845504993,0.00161818630564415,7.34225135751034,5.48830941667988
"STMN1",774.407195130037,-0.558731586801683,0.12673052738354,-4.40881607878679,1.03937244160679e-05,0.000125441501573233,54.9180557619186,51.8852780988644
