"","hTSC_a6_1","hTSC_a6_2","hTSC_b5_1","hTSC_b5_2","hTSC_d4_1","hTSC_d4_2","hTSC_wt_1","hTSC_wt_2"
"WASH7P",0.517552827675752,0.750187221066078,0.692724659266058,0.897450586477548,0.669930512295025,0.500046049695304,0.409369876053718,0.716139924393716
"FO538757.2",0.329351799430024,0.236901227705077,0.184726575804282,0.170942968852866,0.251223942110635,0.590963513276268,0.0454855417837465,0.226149449808542
"FO538757.1",1.74085951127298,2.25056166319824,2.0319923338471,1.96584414180796,2.17727416495883,1.7728905398288,1.2735951699449,1.46997142375552
"AP006222.1",0.941005141228639,0.355351841557616,0.785087947168199,0.940186328690764,1.21424905353473,1.04555083118109,0.727768668539943,0.565373624521355
"RPL23AP24",0.282301542368592,0.592253069262693,0.369453151608564,0.427357422132166,0.293094599129074,0.454587317904822,0.363884334269972,0.226149449808542
"AL732372.1",0,0.0394835379508462,0,0,0,0,0.0454855417837465,0
"AL732372.2",0.141150771184296,0.394835379508462,0.369453151608564,0.0854714844264331,0.251223942110635,0.0454587317904822,0.318398792486225,0.263841024776632
"AL669831.3",0.141150771184296,0.157934151803385,0.277089863706423,0.0427357422132166,0.293094599129074,0.363669854323857,0.409369876053718,0.113074724904271
"MTND1P23",20.7962136211529,16.3461847116503,18.8421107320368,16.4532607520884,13.5242222169558,18.3653276433548,16.14736733323,19.3734695335984
"MTND2P28",61.9181382928445,60.3703295268439,71.1197316846486,57.6932519878424,52.254579959012,66.6425008048468,53.2635694287671,64.0002942958174
"MTCO1P12",187.965776960421,143.404209837474,155.077960387695,132.352593634332,140.601666267918,147.377208464743,160.609448038409,167.237518133417
"MTCO2P12",96.9705798036113,82.7969790829246,96.7505440774928,84.7877125510217,73.0224258401578,90.9174635809643,76.3702246549103,91.7789850472999
"MTATP6P1",755.06252532186,638.883127582643,832.424132218047,679.58377267457,600.508962958453,644.241146934713,570.161266259262,703.211714179661
