"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Day18Rep1","Day18Rep2","Day0_Rep_1","Day0Rep1","Day0Rep2"
"AARS",1640.6055805782,-1.17012246005488,0.295085631871531,-3.96536575716539,7.3283487271084e-05,0.000549569389632068,30.0840644710497,46.5728044142973,103.899240991664,90.6262499614944,110.784569545708
"AARS2",453.412588652733,-1.69573150329307,0.7911974602027,-2.14324689927422,0.0320932782004705,0.0931946829327701,1.99894116086709,13.7320145905943,29.1317968123438,29.0643603924253,32.5239103253455
"AARSD1",1033.26407331537,1.06109118196895,0.292604901444567,3.62636161161494,0.000287442754017461,0.00183084014672372,48.4243496220052,74.5010143703792,33.6641042563243,33.4851530734738,37.1314642881028
"AASDH",1442.89869194183,0.10208913064286,0.365298258330818,0.279467882243246,0.779885782722963,0.868118908356696,82.5562699438108,41.234725503024,70.6414815406619,68.9925836499804,63.2183506948903
"AASDHPPT",1181.98566767374,-0.340770882218104,0.186396431181939,-1.82820497182955,0.0675187951308682,0.16415952161213,45.525884938748,38.1401870037352,61.5768666527009,66.500009053219,58.6785548786441
"AASS",1041.69265419205,0.30660864589611,0.382092149892169,0.802446859959406,0.422294515887685,0.594034777416146,65.1654818442671,31.6803378864697,48.8864058095554,44.9604021604508,43.8395207927053
"AATF",640.811142112615,-0.718117734104029,0.711122986317438,-1.00983619981519,0.312573773562225,0.484499357787813,5.89687642455791,31.7190196177108,37.7275523095482,37.0594109858109,35.2342361857909
"AATK",940.624816105554,-1.02682754199325,0.20174552067971,-5.08971668136037,3.58598886869884e-07,4.70749169251632e-06,21.3386968922562,26.1101685877497,55.9192966709045,58.646047587952,56.4425360437766
"ABAT",600.417766982668,-0.272276057905382,0.398178653404418,-0.683803753861309,0.494099095863586,0.655487872665379,29.6343027098546,14.312240559211,30.8509479117847,32.3564400485253,30.0846170509446
"ABCA1",910.245541792429,0.501374835698578,0.680197739890229,0.737101590163312,0.461060572223934,0.627637504216257,14.9920587065032,75.0038768765136,35.5082845266336,38.3762428482509,39.0964505369257
"ABCA10",1017.04543871636,-0.264816348889301,0.249003209598187,-1.06350576491215,0.28755265223758,0.458719334551932,31.0335615224616,43.2074937963206,51.0431590070358,54.2722846162764,52.5125635461307
"ABCA12",986.540387626804,0.601634572754819,0.787095681304363,0.764372854590943,0.444645080630308,0.614931983161535,11.8936999071592,89.0453453170368,37.1336637479232,38.8935696513523,42.2810834229491
"ABCA13",1498.47054973312,0.537302611325582,0.211023185010701,2.54617809554118,0.01089096080306,0.0391963953292935,86.4542052075016,64.8305815601015,63.3897896302931,59.633671484782,60.6435411274671
"ABCA2",847.951612235288,0.357657622562708,0.49612318977604,0.720904867849781,0.470968047665118,0.63633761125809,59.1686583616658,21.2749521826109,33.3827886218703,36.1188167983538,40.7904041997041
"ABCA3",1533.0190519045,0.175019813926793,0.396238083901246,0.441703665138894,0.658703657131184,0.782041647428439,43.2770761327725,91.1728405352979,65.9528876330959,70.2623858030476,74.8049937482946
"ABCA4",551.15408766045,0.388470128031351,0.595962380887733,0.651836660315194,0.514506549132762,0.672452940321139,41.5779761460354,11.3724289848865,22.4427361708829,25.7722807363253,22.7667372277418
"ABCA5",613.391827051481,0.862018896011252,0.962374588902774,0.895720757749911,0.370401921122542,0.543505031728992,65.0655347862237,4.40971736148662,23.7555424650014,24.0321814895297,19.1077973161405
"ABCA6",1666.33327086654,0.888373160236347,0.501597560253106,1.77108748253894,0.0765461552308457,0.180421570752875,47.9745878608101,139.795776705374,56.9820446232862,61.2326816034591,61.7276714716453
"ABCA7",1395.65037937635,0.900132801639416,0.294787769017462,3.05349439917264,0.00226192944105817,0.0106512013052552,98.9475874629209,60.0340468862038,49.3240079075949,48.158422397805,52.5125635461307
"ABCA8",597.092657001735,0.838930925934043,0.18501974855282,4.5342777324905,5.78009324267864e-06,5.7869671901751e-05,31.9330850448517,34.581467729553,21.2237017549157,22.4802010802254,22.0213976161193
"ABCA9",843.972849782406,0.0792714994674821,0.39309624738765,0.201659262825038,0.840183111803134,0.90667478090866,23.9872939304051,47.2690755766373,41.3533982647326,42.8910949480451,35.2342361857909
"ABCB1",965.407940369314,-0.0545548259008815,0.282470982251946,-0.193134266273844,0.846853817223389,0.910827665549991,32.4328203350685,44.7547630459651,42.1660878753774,45.1014912885694,54.613066087976
"ABCB10",1582.69875980494,-0.180987656057661,0.310201107703564,-0.583452642698548,0.559588628390719,0.709210276968811,44.7263084744011,75.0812403389959,78.1432317927677,82.3490211118717,79.954612883141
"ABCB11",1687.79743858562,0.226674385235156,0.163402828273055,1.38721212864425,0.16537708814338,0.31360264006662,75.2601347066459,76.3964192011936,80.4562714538336,78.8217929089074,69.3843420274037
"ABCB4",701.667173122696,-0.00246517179068247,0.40720094695731,-0.00605394414994058,0.99516968093621,0.996951065338651,39.1292732239733,18.5672309957331,33.4765605000217,37.2945595326752,30.8299566625671
