"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Day_6_Rep_1","Day_6_Rep_2","Day0_Rep_1","Day0Rep1","Day0Rep2"
"A1BG",1966.36680160161,0.29778847210324,0.104889260368295,2.8390749544579,0.00452445276867872,0.0270726140172824,80.9534751613039,91.0335111922569,72.6732055672739,74.4950596466047,61.9987040576898
"A1CF",1780.18403257116,0.353306816603207,0.0963494765252046,3.66693031809865,0.000245479654213964,0.00238735436692365,82.0580340213393,76.9792147274874,65.6715719986419,59.3985229379177,60.9823318600228
"A2M",1254.00204243137,-0.0706914531602201,0.133172922332962,-0.530824524399006,0.595540383756873,0.772315883107918,53.94522948689,40.6886624924096,48.9801776877068,52.2970368226164,47.159669971751
"A2ML1",966.72909173306,0.189724049691214,0.128191684464406,1.48000278242614,0.138872504120437,0.320843371588596,40.0847973399942,41.0572192178843,37.7588096022653,36.1658465077266,32.3206358858121
"A3GALT2",2244.35950120883,0.278445750174649,0.0955764347017518,2.91333058241338,0.00357595816312952,0.0223659733970152,95.7403115133907,98.6749206337662,72.39188993282,81.0792189588046,87.1369764133214
"A4GALT",738.717499074312,-0.0126788176421177,0.146351725503865,-0.0866325121789077,0.930963622063344,0.966244029481803,30.9989099429289,26.1183866119755,29.2568259832122,28.829211845561,27.9841145090993
"A4GNT",1153.4368102337,-0.0405181701587664,0.13114048187547,-0.308967677861991,0.757346114009767,0.875126383336583,48.6718517034952,39.3372878323356,42.2598597535287,44.4430753573494,48.8536236345294
"AAAS",741.943268540144,0.199217589731838,0.161697610462809,1.23203793279097,0.217934914656567,0.42719920555731,28.1484354654182,34.1037823305945,25.1933779299883,25.1138648051054,31.2365055416339
"AACS",1301.98164037849,0.109030192348211,0.107117560111932,1.0178554499774,0.308746655846429,0.529363688112857,52.9119324887924,52.8264639847105,49.2614933221607,50.7450564133121,46.6176047996619
"AADAC",1335.70035815402,-0.0439483259778389,0.114951670541741,-0.382320028675707,0.702224000330377,0.842138196358051,49.669517770624,52.163061878856,56.8882727451348,47.7821847228222,52.3770472531085
"AADACL2",648.178054675548,0.481402248832724,0.154187588043027,3.12218548161208,0.00179513801224243,0.0125711599750633,30.7138624951778,30.0250879020075,22.9428528543566,22.5272307895982,19.4465880486962
"AADACL3",1177.92653132953,0.00578040787206262,0.112398201805092,0.0514279390526755,0.95898452208005,0.980971910879391,44.3248781252914,47.2735426542246,45.823191123279,44.3960456479765,46.4820885066396
"AADACL4",732.292113549544,-0.204137799450101,0.167887413783863,-1.21592080579016,0.224015091525488,0.434629681082968,30.357553185489,21.8185581481037,31.1635208389557,27.7004988206125,30.8977148090782
"AADAT",1271.35274627097,0.146182014087542,0.108920943642371,1.34209279867711,0.179565908550212,0.379036442401116,53.3038727294501,51.3768075311766,46.3858223921869,45.7599072197893,49.5989632461519
"AAED1",898.671265653907,0.00458666354030156,0.133243513728847,0.0344231656156675,0.972539710926448,0.988415201693723,34.027539075284,35.9465659579681,37.5712658459627,34.5198066796766,32.1173614462787
"AAGAB",1253.16461639288,-0.00808820809665465,0.110022777284571,-0.0735139422606529,0.941397149775183,0.971242168110447,49.2775775299662,47.7158107247943,50.6993287871476,46.2772340228908,48.9213817810405
"AAK1",590.014509389293,0.0327360317740107,0.177070352789275,0.184875848826984,0.853326414281838,0.927891242755053,19.8107976186994,26.5606546825451,22.2551924145802,24.1732706176482,21.5470905905414
"AAMDC",1089.58616026015,0.07776703587729,0.119101679664056,0.652946592328868,0.513790710159268,0.710761557534751,41.4387727168118,45.8730270974207,42.634947266134,40.4455500606566,40.7904041997041
"AAMP",1134.3117805715,-0.973592554650723,0.154360303014906,-6.30727289098874,2.83994852804987e-10,8.38261026655941e-09,33.0655039391241,22.801376082703,48.9801776877068,58.0346613661049,56.9168430693546
"AANAT",1883.95516202692,0.109233587623889,0.109773752287403,0.995079291248971,0.319697701690313,0.538896717840126,68.9102204938212,83.8589402696823,66.5155189020038,76.3292183121461,69.519858320426
"AAR2",2105.37312796577,0.136479527793724,0.0857059484186274,1.5924160494333,0.111291252401633,0.277948216206994,86.9394715640764,85.7262943454209,75.8927067171359,78.2104066870603,81.3097758133637
"AARD",866.811805865591,0.0672124794494079,0.133516434639222,0.503402293740274,0.614681459282302,0.785207346265013,32.2459925268398,36.8802429958374,33.0389584019822,33.108915398491,32.7271847648789
"AARS",2154.52478315624,-0.861677623231836,0.0995675753756182,-8.65419912035782,4.9638482708249e-18,3.72538736697607e-16,56.5819183785874,55.5783542015884,103.899240991664,90.6262499614944,110.784569545708
"AARS2",707.671617841385,-0.38098012530068,0.146794921252715,-2.59532224990811,0.00945022694874678,0.0477766956680376,22.4118555794279,24.005328052587,29.1317968123438,29.0643603924253,32.5239103253455
"AARSD1",908.028000785022,0.0448543501030636,0.128884989020307,0.348018418933149,0.727826350833094,0.856659268809264,35.3458835211327,36.3642635801728,33.6641042563243,33.4851530734738,37.1314642881028
"AASDH",1757.75932847817,0.0211146578596745,0.105761596337628,0.199643902804466,0.841759089446711,0.921783805505976,74.6468003798115,63.2197636430977,70.6414815406619,68.9925836499804,63.2183506948903
"AASDHPPT",1622.15905812475,0.0330440799548247,0.103473829729187,0.319347220850993,0.7494632286545,0.869798565375935,60.9645228877601,66.6841968625601,61.5768666527009,66.500009053219,58.6785548786441
"AASS",1250.22867797659,0.183250182759795,0.111699071720336,1.64057032827097,0.100886638491889,0.260984488898273,53.3038727294501,51.3522370828116,48.8864058095554,44.9604021604508,43.8395207927053
"AATF",807.373392872367,-0.662317111017561,0.137066097012216,-4.8321001725068,1.35100243827535e-06,2.21502626692004e-05,22.055546269739,24.3738847780618,37.7275523095482,37.0594109858109,35.2342361857909
"AATK",1324.82395553657,-0.414957754830887,0.107387127197677,-3.86412939482995,0.000111486114884482,0.0011959588047137,44.6099255730425,41.1309305629792,55.9192966709045,58.646047587952,56.4425360437766
"ABAT",843.607652436492,0.172001115728466,0.130996944247014,1.31301624413569,0.189177474524553,0.391723015098957,34.5976339707861,35.6271501292234,30.8509479117847,32.3564400485253,30.0846170509446
"ABCA1",1060.37222483084,0.298232591199941,0.157280096377737,1.89618774446628,0.0579352231683446,0.178972515349179,37.3412156553902,55.1852270277487,35.5082845266336,38.3762428482509,39.0964505369257
"ABCA10",1454.2832763249,0.237090568498203,0.118284400068798,2.00441113418425,0.0450260375933181,0.150706709917084,55.1923120708009,68.8463963186785,51.0431590070358,54.2722846162764,52.5125635461307
"ABCA12",1040.30547026993,0.0808698412220931,0.15270426874772,0.529584679493779,0.596399918903296,0.773068123559011,34.5263721088484,48.7723400044885,37.1336637479232,38.8935696513523,42.2810834229491
"ABCA13",1606.26960119898,0.054861701438965,0.109058333984006,0.503049142920255,0.614929721570142,0.785207346265013,69.8009937680433,57.8879763478967,63.3897896302931,59.633671484782,60.6435411274671
"ABCA2",941.465350802287,-0.0280943929173151,0.148134620834612,-0.189654469421309,0.849579901300999,0.925702593507724,40.3698447877453,31.8187306326512,33.3827886218703,36.1188167983538,40.7904041997041
"ABCA3",1723.91248603929,-0.192897628186874,0.0982106307167644,-1.96412167174838,0.0495159835425145,0.160868790156662,61.3564631284178,61.7209662928338,65.9528876330959,70.2623858030476,74.8049937482946
"ABCA4",585.233526430867,-0.158141283462067,0.164278724259161,-0.962640075123721,0.335728178924548,0.555485719379195,19.8820594806371,22.5556715990531,22.4427361708829,25.7722807363253,22.7667372277418
"ABCA5",554.784081793787,-0.143038688957833,0.174874028347349,-0.81795273037182,0.41338417909786,0.628193719629305,21.5210823052058,19.1158088279557,23.7555424650014,24.0321814895297,19.1077973161405
"ABCA6",1665.33456942137,0.252135710431496,0.12813803214456,1.96768832962136,0.0491039094389431,0.160045330642713,60.0381186825691,82.7778405416231,56.9820446232862,61.2326816034591,61.7276714716453
"ABCA7",1266.16159433116,-0.0711165065710281,0.119008420496989,-0.597575417554821,0.550123270866844,0.738545163543972,51.8786354906947,43.5388345027474,49.3240079075949,48.158422397805,52.5125635461307
