name	length	AN_naive_hTSC	BT5_hTSC_1	BT5_hTSC_2	H9_naive_hTSC
ABI1P1	1120	0	3	0	0
ABI2	23331	3063	2139	1637	2621
ABI3	2456	14	3	0	7
ABI3BP	10978	33	19	6	30
ABL1	6276	458	228	151	349
ABL2	13257	2015	2124	1811	3117
ABLIM1	9871	912	5955	4088	510
ABLIM2	6049	920	27	26	436
ABLIM3	7225	827	1388	1017	924
ABO	6354	116	82	50	74
ABR	11709	3054	1173	1083	2089
ABRA	2755	25	8	16	42
ABRACL	1200	5304	8960	7835	4682
ABRAXAS1	7777	246	195	211	196
ABRAXAS2	2992	1817	2237	2234	2242
ABT1	2949	9371	11750	10939	11688
ABT1P1	821	1	1	0	1
ABTB1	6149	358	218	114	474
ABTB2	4973	895	104	96	1836
AC000032.1	491	0	0	0	0
AC000035.1	343	0	0	0	0
AC000036.1	2030	0	12	13	1
AC000041.1	175	0	0	0	0
AC000041.2	151	0	0	0	0
AC000058.1	536	0	0	0	1
AC000061.1	376	0	0	0	0
AC000067.1	287	0	0	0	0
AC000068.1	2097	95	87	81	62
AC000068.2	460	0	4	0	0
AC000068.3	427	0	0	0	0
AC000077.1	953	0	0	0	0
AC000078.1	682	0	0	1	1
AC000081.1	297	1	0	3	1
AC000089.1	801	15	12	10	10
AC000095.1	874	0	0	0	0
AC000095.2	768	0	0	0	0
AC000099.1	1912	0	0	0	0
AC000111.1	221	0	0	0	0
AC000111.2	210	0	0	0	0
AC000111.3	193	0	0	0	0
AC000120.1	1589	1	0	0	0
AC000123.1	516	10	3	4	2
AC000123.2	461	7	9	3	4
AC000123.3	4975	24	37	17	45
AC000124.1	957	0	0	0	0
AC000362.1	425	0	0	0	0
AC000367.1	1766	2	0	0	0
AC000372.1	646	0	0	0	0
AC000374.1	1745	0	0	0	0
AC000403.1	3585	3	0	5	6
AC001226.1	539	3	3	1	3
AC001226.2	6145	51	11	10	33
AC002044.1	158	9	6	4	5
AC002044.2	970	91	34	16	95
