name	length	AN_naive_hTSC	BT5_hTSC_1	BT5_hTSC_2	H9_naive_hTSC
AC034206.1	887	0	0	0	0
AC034207.1	948	26	35	31	29
AC034213.1	806	204	0	2	180
AC034222.1	532	0	0	0	0
AC034223.1	599	0	0	0	0
AC034223.2	425	0	0	0	0
AC034226.1	487	0	0	0	0
AC034228.1	923	0	0	0	0
AC034228.2	459	0	0	0	0
AC034228.3	562	0	0	0	0
AC034229.1	943	0	0	0	1
AC034229.2	2508	0	0	0	0
AC034229.3	2436	0	0	0	0
AC034229.4	441	10	1	1	1
AC034229.5	185	0	0	0	1
AC034229.6	224	0	0	0	0
AC034231.1	537	11	16	21	17
AC034232.1	1064	0	0	0	0
AC034232.2	917	0	0	0	5
AC034234.1	717	0	0	0	0
AC034236.1	373	22	34	28	28
AC034236.2	1610	19	10	16	19
AC034236.3	461	0	1	1	5
AC034238.1	4140	0	0	0	0
AC034238.2	567	0	0	0	0
AC034238.3	591	0	0	0	0
AC034243.1	587	0	3	0	1
AC034244.1	207	0	1	0	0
AC034244.2	858	0	0	0	0
AC034245.1	1227	0	0	0	0
AC034268.1	882	0	1	0	0
AC034268.2	482	0	1	0	1
AC035139.1	273	0	0	0	0
AC035140.1	493	0	0	0	0
AC036101.1	597	0	0	0	0
AC036103.1	988	3	3	1	4
AC036108.1	588	3	5	1	7
AC036108.2	2562	0	0	0	0
AC036108.3	2677	0	2	1	5
AC036108.4	2516	5	3	9	8
AC036111.1	1582	0	0	0	0
AC036111.2	901	0	0	0	0
AC036111.3	112	0	0	0	0
AC036164.1	333	4	6	2	2
AC036176.1	785	13	3	1	6
AC036176.2	1153	27	12	6	13
AC036176.3	418	0	4	4	0
AC036214.1	2455	9	25	17	0
AC036214.2	917	72	51	101	143
AC036214.3	1527	0	0	0	0
AC036222.1	701	0	0	0	0
AC036222.2	333	0	1	0	0
AC037198.1	281	0	0	0	0
AC037198.2	733	7	25	9	2
AC037198.3	526	0	0	0	0
AC037441.1	4023	0	0	0	0
AC037441.2	898	2	0	0	0
AC037450.1	647	0	0	0	0
AC037459.1	1198	0	0	0	0
AC037459.2	4076	53	38	35	59
AC037459.3	2750	54	69	34	66
AC037459.4	585	0	0	0	0
AC037471.1	1699	0	0	0	0
AC037471.2	598	0	0	0	0
AC037479.1	625	2	0	1	1
AC037486.1	790	0	3	1	0
AC037487.1	2474	1	6	0	0
AC037487.2	537	5	1	2	1
AC037487.3	112	1	4	5	0
AC037487.4	625	0	0	0	0
AC039056.1	467	0	0	0	0
AC039056.2	511	10	6	10	21
AC040160.1	2677	8	50	31	9
AC040160.2	1675	6	13	8	3
AC040162.1	5685	55	161	99	79
AC040162.2	157	0	3	1	1
AC040162.3	3907	3	5	16	6
AC040162.4	1185	25	9	16	75
AC040168.1	991	0	0	0	0
AC040169.1	521	7	6	7	17
AC040169.2	1015	1	3	0	0
AC040169.3	612	11	7	19	12
AC040170.1	564	0	0	0	0
AC040173.1	580	4	3	3	1
AC040174.1	3825	4	0	2	0
AC040174.2	465	0	0	0	0
AC040896.1	479	0	1	1	0
AC040904.1	223	0	1	1	1
AC040914.1	318	0	0	0	0
AC040918.1	632	0	0	0	0
AC040926.1	238	0	0	0	0
AC040934.1	513	1	0	0	0
AC040936.1	172	0	0	0	0
AC040958.1	201	0	0	0	1
AC040963.1	911	0	0	0	0
AC040970.1	807	3	13	4	14
AC040975.1	316	7	10	8	7
AC040977.1	343	13	13	11	25
AC040977.2	498	0	0	0	0
AC040978.1	1282	5	3	3	4
AC041039.1	536	0	0	0	0
AC041040.1	460	6	7	2	2
AC041040.2	2899	0	0	0	0
AC044781.1	570	0	0	0	0
AC044784.1	677	1	0	0	0
AC044784.2	366	8	0	0	5
AC044787.1	792	12	13	17	11
AC044792.1	196	0	0	0	0
AC044797.1	679	0	1	0	0
AC044798.1	418	0	0	0	0
AC044798.2	1235	0	0	0	0
AC044802.1	2894	0	7	0	1
AC044802.2	434	0	0	0	0
AC044810.1	711	0	2	1	1
AC044810.2	2822	190	365	188	237
AC044810.3	589	0	0	0	0
AC044836.1	274	0	0	0	0
AC044839.1	3247	0	0	0	0
AC044839.2	597	3	0	0	0
AC044839.3	860	0	0	0	0
AC044839.4	469	23	1	7	17
AC044840.1	472	12	6	5	11
AC044849.1	1188	2	1	2	0
AC044849.2	710	3	1	1	3
AC044860.1	1646	0	0	0	0
AC044860.2	179	0	0	0	0
AC044860.3	368	1	1	0	0
AC044873.1	399	0	0	0	0
AC044913.1	430	0	0	0	1
AC046130.1	2179	0	0	0	0
AC046130.2	794	5	2	4	3
AC046134.1	666	2	1	0	0
AC046136.1	533	0	0	0	0
AC046143.1	972	6	5	9	22
AC046143.2	160	11	15	7	10
AC046144.1	1853	1	0	0	1
AC046158.1	719	22	7	5	26
AC046158.2	707	4	0	0	6
AC046158.3	2558	10	2	0	14
AC046158.4	1347	18	1	0	10
AC046168.1	3814	182	140	190	87
AC046168.2	1224	7	2	1	3
AC046176.1	1170	55	72	52	53
AC046185.1	2128	0	0	0	0
AC046185.2	413	40	109	120	47
AC046185.3	1824	0	0	0	0
AC046195.1	4171	0	0	0	0
AC046195.2	541	0	0	0	0
AC048334.1	159	3	0	0	0
AC048337.1	552	2	0	3	4
AC048338.1	2748	0	0	0	0
AC048338.2	684	5	12	5	22
AC048341.1	403	57	19	13	74
AC048341.2	8693	77	57	42	106
AC048341.3	491	6	9	5	9
AC048344.1	407	0	1	0	0
AC048344.2	147	0	0	0	0
AC048344.3	251	0	0	0	0
AC048344.4	527	3	7	2	2
AC048346.1	144	0	0	0	0
AC048347.1	427	0	0	0	0
AC048351.1	924	0	5	5	3
AC048380.1	465	0	0	0	2
AC048380.2	3548	140	92	50	170
AC048380.3	796	0	2	0	0
AC048382.1	1018	15	5	6	11
AC048382.2	492	3	5	7	2
AC048382.3	33	0	0	0	0
AC048382.4	546	0	0	0	0
AC048382.5	3667	3	2	8	6
AC048382.6	1223	0	0	0	0
AC048383.1	527	0	0	0	0
AC048387.1	494	0	0	0	0
AC051618.1	207	0	0	1	0
AC051619.1	616	0	0	1	0
AC051619.2	397	0	1	1	0
AC051619.3	2426	4	0	0	1
AC051619.4	292	0	0	3	0
AC051619.5	1455	10	1	0	1
AC051619.6	595	0	0	0	0
AC051619.7	623	0	1	2	1
AC051619.8	308	1	1	6	0
AC051619.9	597	1	0	0	0
AC051649.1	330	0	0	0	0
AC051649.2	3319	0	0	0	0
AC053481.1	306	0	0	0	0
AC053481.2	1815	0	0	0	0
AC053481.3	843	0	0	0	0
AC053481.4	216	0	0	0	0
AC053481.5	397	0	0	0	0
AC053503.1	519	0	0	0	0
AC053503.2	1598	5	2	0	0
AC053503.3	114	0	0	0	0
AC053503.4	224	0	0	1	0
AC053503.5	636	0	1	1	0
AC053503.6	1843	0	0	0	0
AC053513.1	738	4	0	1	0
AC053527.1	685	2	4	3	5
AC055713.1	8279	263	127	87	375
AC055716.1	495	0	0	0	0
AC055716.2	2441	6	5	6	6
AC055716.3	761	0	0	0	0
AC055717.1	1986	0	0	0	0
AC055717.2	577	0	0	0	0
AC055717.3	595	0	0	0	0
AC055720.1	475	0	0	0	0
AC055720.2	172	6	2	1	3
AC055731.1	401	0	0	0	0
AC055733.1	572	7	3	0	3
AC055733.2	340	0	0	0	0
AC055733.3	523	2	1	0	0
AC055733.4	1354	0	0	0	0
AC055736.1	629	0	0	0	0
AC055748.1	959	0	0	0	0
AC055753.1	889	0	0	0	0
AC055758.1	569	0	0	0	0
AC055758.2	1118	0	0	0	0
AC055764.1	473	19	4	3	20
AC055764.2	670	3	8	7	31
AC055811.1	1231	33	31	19	76
AC055811.2	1693	1	0	0	0
AC055811.3	686	16	17	13	20
AC055811.4	1754	54	28	11	64
AC055813.1	2123	8	4	4	0
AC055822.1	445	25	19	14	21
AC055839.1	498	0	0	0	1
AC055854.1	2191	2	30	3	0
AC055855.1	579	0	0	0	0
AC055855.2	500	11	10	5	15
AC055855.3	578	0	0	0	0
AC055860.1	688	0	0	0	0
AC055872.1	278	0	0	0	0
AC055874.1	561	0	0	0	0
AC055876.1	965	0	0	0	0
AC055876.2	546	0	1	0	2
AC055876.3	288	0	0	0	0
AC055876.4	712	0	0	1	0
AC055876.5	259	0	0	0	0
AC055878.1	281	0	0	0	0
AC058791.1	3198	180	76	53	577
AC058822.1	2550	0	0	0	0
AC058823.1	474	12	1	1	1
AC060234.1	474	0	0	0	0
AC060234.2	1945	0	0	0	0
AC060234.3	559	0	0	0	0
AC060764.1	454	0	1	0	0
AC060765.1	716	0	0	0	0
AC060766.1	627	18	73	45	20
AC060766.2	334	0	0	0	0
AC060766.3	263	1	3	2	3
AC060766.4	537	8	22	8	5
AC060766.5	871	0	3	4	0
AC060766.6	394	3	1	1	0
AC060766.7	1212	4	24	13	3
AC060771.1	164	0	0	0	0
AC060773.1	310	0	1	3	4
AC060775.1	520	0	0	0	0
AC060780.1	8246	253	255	143	283
AC060780.2	198	7	6	4	6
AC060780.3	80	5	2	3	1
AC060788.1	469	0	0	0	0
AC060809.1	564	31	4	0	35
AC060814.1	538	0	0	0	0
AC060814.2	1089	0	6	0	1
AC060814.3	460	0	0	0	0
AC060814.4	2163	4	9	3	23
AC060814.5	1074	0	0	0	0
AC060814.6	752	0	0	0	0
AC060834.1	2032	6	3	0	5
AC060834.2	618	2	0	0	0
AC061709.1	622	0	0	0	0
AC061709.2	898	2	0	0	0
AC061961.1	432	0	0	0	0
AC061965.1	1465	4	1	4	1
AC061975.1	2736	5	23	13	23
AC061975.2	295	0	0	1	1
AC061975.3	244	1	1	2	0
AC061975.4	776	0	0	0	0
AC061975.5	1441	0	0	0	0
AC061975.6	1553	80	95	76	202
AC061975.7	2692	1064	372	445	1856
AC061975.8	721	17	12	11	6
AC061979.1	434	0	0	0	0
AC061992.1	1188	2	16	7	1
AC061999.1	177	0	1	2	1
AC062004.1	864	0	0	2	0
AC062015.1	1134	1	2	0	0
AC062016.1	319	0	0	0	0
AC062016.2	676	0	0	0	0
AC062017.1	613	1	1	0	0
AC062020.1	801	0	0	0	0
AC062021.1	557	0	0	1	0
AC062022.1	1684	0	0	0	0
AC062028.1	2705	120	167	209	51
AC062028.2	856	78	364	399	110
AC062029.1	4283	209	115	89	92
AC062031.1	747	0	0	0	0
AC062032.1	355	0	1	0	0
AC062037.1	128	0	0	1	3
AC062037.2	73	1	1	0	1
AC062039.1	565	0	0	0	0
AC063919.1	254	1	3	0	0
AC063923.1	1619	0	0	0	0
AC063923.2	928	0	1	0	0
AC063924.1	673	1	2	0	0
AC063926.1	415	0	0	0	0
AC063926.2	1308	0	1	0	0
AC063926.3	5658	2	0	0	0
AC063943.1	453	14	12	10	17
AC063943.2	534	3	1	0	1
AC063943.3	356	7	7	1	5
AC063944.1	3310	6	118	76	142
AC063944.2	1368	4	4	0	33
AC063944.3	533	0	2	1	11
AC063947.1	557	0	4	0	0
AC063947.2	1256	10	11	10	7
AC063948.1	379	19	10	7	12
AC063949.1	865	0	0	3	2
AC063949.2	1968	0	0	0	0
AC063950.1	642	10	11	3	15
AC063952.1	4265	32	195	113	22
AC063952.2	1227	1	0	0	3
AC063952.3	308	1	0	0	0
AC063952.4	825	0	12	3	3
AC063955.1	685	0	0	1	0
AC063961.1	88	23	9	8	16
AC063962.1	521	0	0	1	2
AC063965.1	499	14	9	5	21
AC063976.1	381	3	36	26	0
AC063976.2	3556	5	4	0	0
AC063976.3	329	0	1	0	0
AC063976.4	163	0	0	1	0
AC063977.1	371	0	0	0	0
AC063977.2	421	0	0	0	0
AC063977.3	547	0	0	0	0
AC063977.4	872	0	0	0	0
AC063977.5	974	0	0	0	0
AC063977.6	1763	0	0	0	0
AC063977.7	337	0	0	0	0
AC063979.1	377	0	0	0	0
AC063979.2	1081	0	0	0	1
AC063980.1	414	0	0	0	0
AC064799.1	555	121	94	72	81
AC064799.2	698	1	4	1	0
AC064801.1	407	0	0	3	4
AC064801.2	1303	4	6	8	17
AC064802.1	1192	2	2	1	2
AC064805.1	3602	0	0	0	0
AC064805.2	523	0	0	0	0
AC064807.1	2055	63	70	67	54
AC064807.2	672	0	0	3	0
AC064807.3	470	0	0	0	0
AC064807.4	407	11	3	0	1
AC064834.1	503	34	12	9	48
AC064836.1	704	1	0	0	0
AC064836.2	462	0	0	0	0
AC064836.3	673	49	27	46	75
AC064847.1	506	8	9	2	11
AC064850.1	1398	0	7	5	9
AC064852.1	851	2	8	4	7
AC064853.1	540	0	0	0	0
AC064853.2	144	0	0	0	0
AC064853.3	1658	1	2	0	0
AC064853.4	363	0	0	0	3
AC064853.5	258	0	0	0	0
AC064853.6	303	0	0	0	0
AC064859.1	174	0	0	0	0
AC064862.1	201	0	0	0	0
AC064862.2	196	0	0	0	0
AC064862.3	571	0	0	0	0
AC064862.4	334	0	0	0	0
AC064862.5	334	0	0	0	0
AC064862.6	1022	0	0	0	0
AC064862.7	867	0	0	0	0
AC064871.1	597	0	0	0	3
AC064872.1	1072	2	2	0	0
AC064874.1	600	7	0	1	15
AC064875.1	2846	0	0	0	0
AC066595.1	399	0	0	0	0
AC066612.1	831	0	0	0	0
AC066612.2	695	0	0	0	0
AC066613.1	1263	23	10	0	35
AC066613.2	560	1	0	0	1
AC066615.1	628	0	0	0	0
AC066616.1	413	0	0	0	0
AC066616.2	1481	0	0	0	1
AC066692.1	457	19	1	4	11
AC067735.1	526	2	15	13	13
AC067747.1	250	2	0	0	0
AC067750.1	6545	55	50	26	76
AC067773.1	1094	0	0	0	0
AC067796.1	496	0	1	3	1
AC067805.1	470	0	0	0	0
AC067817.1	356	11	2	0	13
AC067817.2	387	8	6	3	4
AC067819.1	154	0	0	0	0
AC067838.1	577	29	15	4	31
AC067852.1	594	0	0	0	0
AC067852.2	2313	12	3	3	12
AC067852.3	561	0	0	0	0
AC067852.4	478	51	15	20	65
AC067852.5	310	0	0	0	0
AC067852.6	1736	134	88	39	245
AC067852.7	535	8	14	1	14
AC067863.1	530	2	1	1	1
AC067863.2	1980	0	0	0	0
AC067863.3	122	1	0	1	0
AC067904.1	1225	0	0	0	0
AC067904.2	1283	0	3	2	1
AC067904.3	261	1	2	0	0
AC067930.1	291	0	0	0	0
AC067930.2	431	0	0	0	0
AC067930.3	701	3	0	5	1
AC067930.4	498	6	2	0	1
AC067930.5	1173	0	0	0	0
AC067930.6	4947	24	18	15	8
AC067931.1	671	11	8	5	6
AC067931.2	2003	8	7	5	37
AC067931.3	1518	1	2	0	5
AC067940.1	300	0	0	0	0
AC067942.1	1493	8	5	1	7
AC067942.2	1268	0	1	1	0
AC067942.3	362	0	0	0	0
AC067945.1	618	8	25	9	19
AC067945.2	623	0	0	0	0
AC067945.3	520	1	0	1	2
AC067956.1	2062	6	0	0	0
AC067959.1	379	0	0	0	0
AC067960.1	812	0	0	0	0
AC067968.1	3766	0	0	0	0
AC067968.2	566	0	0	0	0
AC067969.1	552	0	0	0	0
AC067969.2	570	0	0	0	0
AC068014.1	413	0	1	0	0
AC068020.1	661	1	0	0	0
AC068025.1	762	10	8	5	1
AC068025.2	419	9	3	2	1
AC068042.1	1148	0	0	0	0
AC068044.1	1978	0	0	0	0
AC068050.1	380	2	7	9	0
AC068051.1	727	0	0	1	1
AC068057.1	709	0	0	0	0
AC068057.2	895	0	0	0	0
AC068058.1	389	0	1	0	0
AC068075.1	1865	0	2	0	0
AC068112.1	346	0	0	0	0
AC068134.1	680	0	0	0	0
AC068134.2	576	0	0	0	0
AC068134.3	788	5	3	4	8
AC068134.4	122	0	0	0	2
AC068135.1	246	0	0	0	0
AC068135.2	1028	0	0	0	3
AC068137.1	584	1	0	0	0
AC068137.2	478	0	0	0	0
AC068137.3	341	0	0	0	0
AC068137.4	296	0	0	0	0
AC068138.1	217	2	0	1	0
AC068152.1	3348	64	71	60	39
AC068189.1	2886	2	0	6	9
AC068189.2	794	0	0	0	0
AC068196.1	833	0	3	1	0
AC068205.1	1224	14	3	1	12
AC068205.2	2971	54	61	59	61
AC068205.3	468	0	0	0	0
AC068205.4	804	0	0	0	0
AC068213.1	226	0	0	0	0
AC068228.1	211	19	18	14	15
AC068228.2	777	0	0	0	0
AC068228.3	58	0	0	0	0
AC068234.1	2785	0	0	0	0
AC068234.2	522	2	0	2	0
AC068254.1	483	0	0	0	0
AC068254.2	3577	0	0	0	0
AC068276.1	379	0	0	0	0
AC068279.1	888	0	0	0	0
AC068282.1	2690	94	34	27	22
AC068286.1	467	0	0	0	0
AC068287.1	295	0	0	0	0
AC068295.1	153	0	0	0	0
AC068298.1	161	0	0	0	0
AC068299.1	1749	1	0	0	0
AC068305.1	726	4	6	4	4
AC068305.2	1205	0	0	0	0
AC068305.3	555	0	0	0	0
AC068313.1	1008	0	0	0	0
AC068338.1	176	0	0	0	0
AC068338.2	1430	4	6	13	12
AC068338.3	418	4	1	0	6
AC068339.1	141	0	0	0	0
AC068339.2	618	2	0	0	0
AC068385.1	409	0	0	0	0
AC068389.1	3786	1	0	0	0
AC068389.2	430	0	0	0	0
AC068389.3	529	0	0	0	0
AC068389.4	689	27	8	7	30
AC068397.1	531	1	0	0	0
AC068397.2	371	0	0	0	0
AC068408.1	1144	4	0	0	0
AC068408.2	439	0	0	0	0
AC068413.1	776	2	12	15	3
AC068418.1	404	0	0	0	0
AC068418.2	3703	0	0	0	0
AC068446.1	1549	22	42	24	58
AC068446.2	2165	15	11	8	11
AC068446.3	382	0	0	0	0
AC068448.1	3925	0	0	0	0
AC068472.1	881	0	0	0	0
AC068473.1	1111	0	0	3	0
AC068473.2	474	0	3	2	0
AC068473.3	6158	0	0	0	0
AC068473.4	585	0	0	0	0
AC068473.5	2072	39	40	33	81
AC068481.1	743	2	1	1	13
AC068483.1	660	0	0	0	0
AC068489.1	261	0	0	0	0
AC068490.1	3200	0	0	0	0
AC068491.1	1241	3	0	0	0
AC068491.2	617	0	0	0	0
AC068491.3	606	37	16	2	52
AC068491.4	3380	27	12	3	37
AC068492.1	469	0	0	1	1
AC068506.1	670	0	4	1	0
AC068512.1	1811	1	2	1	0
AC068522.1	345	2	3	2	1
AC068531.1	195	0	0	0	0
AC068533.1	415	0	0	1	0
AC068533.2	306	2	0	0	2
AC068533.3	404	13	9	9	13
AC068533.4	922	0	0	0	0
AC068535.1	471	0	0	0	0
AC068538.1	336	1	1	1	0
AC068544.1	248	1	2	1	0
AC068547.1	3287	0	0	0	0
AC068580.1	252	0	0	0	0
AC068580.2	338	1	0	0	0
AC068580.3	2015	0	1	0	2
AC068580.4	4807	3	1	6	2
AC068587.10	219	0	0	0	0
AC068587.1	781	0	2	1	7
AC068587.2	781	0	0	0	0
AC068587.3	355	0	0	0	0
AC068587.4	186	0	0	1	0
AC068587.5	175	0	0	0	0
AC068587.6	13920	1	1	0	2
AC068587.7	218	0	0	0	0
AC068587.8	219	0	0	0	0
AC068587.9	219	0	0	0	0
AC068594.1	1348	22	1	10	6
AC068594.2	597	8	2	1	0
AC068599.1	567	0	0	0	0
AC068620.1	798	12	6	1	12
AC068620.2	529	34	23	14	14
AC068620.3	560	4	8	3	7
AC068620.4	4585	36	14	20	43
AC068631.1	11099	9	2	16	17
AC068631.2	501	0	0	0	0
AC068631.3	225	3	9	4	5
AC068633.1	1069	0	0	0	0
AC068643.1	825	0	0	0	0
AC068643.2	1253	0	0	0	0
AC068647.1	2265	1	4	1	0
AC068647.2	523	6	4	2	3
AC068657.1	306	3	2	0	1
AC068658.1	388	0	0	1	0
AC068669.1	2228	8	9	16	20
AC068672.1	328	0	0	0	0
AC068672.2	336	1	0	0	0
AC068672.3	1228	0	0	0	0
AC068675.1	561	1	0	3	3
AC068700.1	3754	11	2	4	3
AC068707.1	391	0	0	0	0
AC068714.1	800	0	0	0	0
AC068721.1	583	0	0	0	0
AC068722.1	1270	0	0	4	0
AC068722.2	544	0	0	0	0
AC068724.1	792	57	33	27	42
AC068724.2	532	0	0	1	3
AC068724.3	87	0	0	0	0
AC068726.1	341	1	0	0	0
AC068733.1	2469	0	0	0	0
AC068733.2	1418	0	0	0	0
AC068733.3	269	0	5	0	0
AC068756.1	403	332	131	117	225
AC068759.1	470	0	0	0	0
AC068760.1	1953	2	3	1	0
AC068768.1	1756	32	33	20	52
AC068768.2	343	10	19	8	10
AC068769.1	2426	0	0	4	3
AC068775.1	2423	151	93	72	63
AC068775.2	998	0	0	0	0
AC068781.1	618	2	2	1	6
AC068787.1	691	0	0	0	0
AC068789.1	577	0	0	0	0
AC068790.1	355	2	1	0	0
AC068790.2	557	1	4	1	2
AC068790.3	553	11	9	2	10
AC068790.4	263	1	1	2	2
AC068790.5	355	22	24	2	24
AC068790.6	258	0	1	0	0
AC068790.7	528	2	5	0	1
AC068790.8	504	0	0	0	0
AC068790.9	2838	0	10	13	0
AC068792.1	417	2	6	0	1
AC068802.1	732	0	0	0	0
AC068831.1	3429	14	3	2	4
AC068831.2	367	0	0	0	0
AC068831.3	1858	15	19	8	19
AC068831.4	109	0	0	0	0
AC068831.5	328	0	0	0	1
AC068831.6	795	0	0	0	0
AC068831.7	363	2	0	0	0
AC068831.8	435	6	2	1	3
AC068858.1	1239	0	0	0	0
AC068860.1	3736	8	11	0	0
AC068867.1	150	0	0	0	0
AC068870.1	2455	0	0	3	0
AC068870.2	389	6	5	3	7
AC068870.3	2536	0	0	0	0
AC068875.1	463	0	3	0	0
AC068880.1	2297	0	0	0	0
AC068880.2	362	0	0	0	0
AC068880.3	179	0	0	0	0
AC068880.4	495	0	4	2	14
AC068880.5	290	0	0	0	0
AC068888.1	5622	114	146	103	134
AC068888.2	536	59	68	57	78
AC068896.1	3422	0	0	0	8
AC068898.1	335	0	0	0	0
AC068898.2	597	0	0	0	0
AC068944.1	1604	0	0	0	0
AC068944.2	403	0	0	0	1
AC068946.1	4650	15	5	7	4
AC068985.1	703	0	0	0	0
AC068987.1	427	2	0	0	0
AC068987.2	896	0	0	0	0
AC068987.3	2154	5	2	3	5
AC068987.4	2094	0	0	0	0
AC068987.5	987	0	0	0	1
AC068992.1	813	1	0	0	0
AC068993.1	589	0	14	3	3
AC068993.2	395	0	0	0	0
AC069023.1	221	0	0	0	0
AC069029.1	263	4	1	0	1
AC069061.1	397	0	0	0	0
AC069061.2	720	0	0	0	0
AC069061.3	823	0	0	0	0
AC069061.4	1347	5	9	8	8
AC069079.1	400	1	0	0	0
AC069113.1	267	0	0	0	0
AC069113.2	359	0	0	0	0
AC069113.3	150	0	0	0	0
AC069114.1	287	0	0	0	0
AC069114.2	304	0	0	0	0
AC069120.1	379	28	9	16	11
AC069120.2	540	4	13	13	10
AC069120.3	537	11	4	6	15
AC069133.1	566	0	0	0	0
AC069148.1	768	0	0	0	0
AC069152.1	544	0	0	0	0
AC069154.1	542	0	0	0	0
AC069155.1	575	0	1	4	0
AC069157.1	137	0	0	0	0
AC069181.1	554	11	10	7	3
AC069185.1	1091	52	60	25	76
AC069200.1	323	10	5	2	1
AC069208.1	1693	0	6	2	2
AC069209.1	651	0	0	1	0
AC069213.1	1041	3	9	15	0
AC069213.2	366	0	0	0	0
AC069213.3	474	28	37	22	39
AC069218.1	762	37	34	24	31
AC069218.2	344	0	0	0	0
AC069222.1	3360	5	1	1	3
AC069224.1	1715	53	3	6	26
AC069228.1	2310	0	0	0	0
AC069234.1	583	2	1	1	6
AC069234.2	907	0	0	0	0
AC069234.3	569	0	0	0	0
AC069234.4	412	0	0	4	2
AC069234.5	416	5	2	5	6
AC069235.1	655	0	0	0	0
AC069236.1	616	0	1	1	0
AC069240.1	375	0	0	0	0
AC069240.2	609	4	75	61	2
AC069257.1	429	8	8	4	12
AC069257.2	155	2	1	1	1
AC069257.3	708	0	0	0	0
AC069262.1	672	0	0	0	0
AC069271.1	156	6	6	6	6
AC069272.1	680	0	0	1	3
AC069277.1	3023	233	113	96	215
AC069277.2	432	7	3	0	6
AC069280.1	439	0	0	0	0
AC069281.1	570	0	5	4	0
AC069281.2	4401	2	4	4	16
AC069282.1	526	28	38	34	24
AC069285.1	419	0	0	0	0
AC069285.2	275	1	0	0	0
AC069287.1	723	0	0	0	0
AC069287.2	574	0	0	0	0
AC069287.3	589	0	0	0	0
AC069294.1	350	3	0	0	0
AC069304.1	704	0	0	0	0
AC069304.2	435	0	0	0	0
AC069304.3	1084	0	0	0	0
AC069306.1	843	0	0	0	0
AC069307.1	447	60	26	25	38
AC069335.1	472	0	0	0	0
AC069360.1	947	7	35	21	8
AC069366.1	838	74	23	11	63
AC069366.2	430	34	12	1	37
AC069368.1	1277	0	1	0	2
AC069421.1	323	0	0	0	0
AC069431.1	1877	5	0	2	9
AC069431.2	1099	4	2	1	2
AC069437.1	512	0	0	0	0
AC069439.1	167	0	2	2	3
AC069439.2	789	0	0	0	0
AC069444.1	266	0	0	0	0
AC069454.1	468	0	0	2	0
AC069499.1	509	46	42	31	53
AC069499.2	382	11	11	4	15
AC069503.1	1143	0	0	0	0
AC069503.2	1831	0	1	0	0
AC069503.3	145	0	0	0	3
AC069528.1	914	0	0	0	0
AC069528.2	1991	9	2	0	9
AC069540.1	988	0	0	0	0
AC069540.2	351	0	0	0	0
AC069542.1	557	3	0	0	4
AC069542.2	216	0	0	0	0
AC069544.1	999	11	13	13	33
AC069544.2	2528	115	231	163	160
AC069545.1	358	1	1	0	0
AC069547.1	1586	26	24	11	35
AC069549.1	499	0	0	0	0
AC072022.1	1144	18	19	18	10
AC072022.2	717	1	0	0	0
AC072026.1	201	0	0	0	0
AC072039.1	581	51	71	53	48
AC072039.2	439	1	0	0	1
AC072046.1	153	0	0	0	0
AC072046.2	268	0	0	0	0
AC072052.1	306	10	7	6	9
AC072061.1	2234	41	47	20	21
AC072062.1	3813	2	0	0	7
AC073023.1	773	0	0	0	0
AC073046.1	390	34	10	1	33
AC073046.2	527	0	0	0	0
AC073050.1	462	2	0	0	0
AC073052.1	714	20	20	2	9
AC073052.2	1016	0	0	0	0
AC073055.1	1621	0	0	0	0
AC073062.1	455	0	0	0	0
AC073063.1	607	100	100	67	104
AC073065.1	2866	0	0	0	0
AC073069.1	441	0	0	1	0
AC073071.1	388	0	0	0	0
AC073072.1	1364	189	134	96	152
AC073072.2	348	13	15	7	6
AC073073.1	463	7	11	12	11
AC073073.2	2578	27	22	24	38
AC073082.1	2103	2	6	2	3
AC073089.1	214	0	0	0	0
AC073091.1	864	0	0	0	0
AC073091.2	907	0	0	0	0
AC073094.1	433	0	0	0	0
AC073107.1	1962	75	47	21	101
AC073107.2	238	2	3	1	2
AC073109.1	978	21	0	1	47
AC073111.1	420	0	2	0	0
AC073111.2	1075	0	0	0	0
AC073111.3	635	0	0	0	0
AC073111.4	689	0	0	0	0
AC073111.5	4333	92	74	126	120
AC073114.1	490	0	0	0	0
AC073115.1	532	0	0	0	0
AC073115.2	555	0	0	0	0
AC073127.1	333	0	0	0	0
AC073130.1	2560	0	6	0	0
AC073130.2	917	4	2	1	11
AC073130.3	2278	5	1	2	3
AC073133.1	432	0	0	0	0
AC073133.2	2698	1	0	0	1
AC073135.1	775	0	0	0	0
AC073136.1	2884	3	0	0	3
AC073136.2	849	0	0	0	2
AC073137.1	634	0	0	0	0
AC073143.1	395	0	0	0	0
AC073150.1	1084	1	4	1	1
AC073167.1	580	3	2	1	5
AC073172.1	851	0	0	0	0
AC073172.2	571	0	0	0	0
AC073174.1	415	26	114	115	136
AC073176.1	895	0	0	0	0
AC073176.2	1963	0	0	0	0
AC073188.1	361	0	0	0	0
AC073188.2	701	0	0	0	0
AC073188.3	339	0	0	0	0
AC073188.4	528	0	0	0	0
AC073188.5	673	0	0	0	0
AC073188.6	2910	0	0	0	0
AC073195.1	877	0	5	2	0
AC073210.1	232	2	3	3	0
AC073210.2	194	0	0	0	0
AC073218.1	171	0	0	0	0
AC073218.2	912	0	0	0	0
