"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AN_naive_TSC","H9_naive_TSC","AN_STB","H9_STB"
"7SK",1438.17709436665,-8.81704676213809,0.449508271079061,-19.6148710255597,1.15429343535575e-85,8.48790439464926e-83,0.163786964261029,0.573469357716231,95.307588771612,109.915549122184
"A1BG-AS1",110.042440541502,-1.24608930186145,0.412012887279334,-3.02439399429909,0.00249131761343375,0.00646063478279958,4.2175143297215,3.10629235429625,5.31987399755671,5.75912191997114
"A2ML1",136.4737291681,2.47176910526473,0.578850391621721,4.27013463416645,1.95355004246948e-05,8.14912964454018e-05,12.4478092838382,13.4287407931884,0.736597938123236,2.26427015656985
"A4GALT",233.869939937927,2.34708239887786,0.464231829737336,5.05584117359175,4.28497842193867e-07,2.51512081564436e-06,20.5143172736939,23.2255089875074,1.67780641461404,3.8394146133141
"AADACL2-AS1",79.1020584522154,1.81212916807414,0.483710892156726,3.74630631118184,0.000179457445137395,0.000615043693381296,6.18295790085385,7.59846898974006,1.22766323020539,1.2798048711047
"AAED1",451.010973521131,1.42762045628962,0.308102600347091,4.63358782003573,3.59382199366117e-06,1.75656676174665e-05,43.8130129398253,30.1071412801021,8.14349942702911,9.35242021191895
"AAMDC",68.176716186099,1.98613566486605,0.614220936541475,3.2335850940697,0.00122246911764852,0.00343537181341738,7.77988080239889,4.49217663544381,1.26858533787891,0.689125699825607
"AAR2",2521.22387664329,-1.23128674081277,0.241918027815916,-5.08968575814324,3.58657367595211e-07,2.13933705159541e-06,90.0009368614356,79.0431931385538,145.02794959493,107.897395286981
"AASS",418.031590663428,2.66239418636479,0.371069725906449,7.17491619630541,7.23514915802102e-13,9.42563329287069e-12,50.3644915102665,30.9195562035335,4.74696449012752,3.39640523485478
"ABCA5",168.67822031922,-1.14451305494529,0.367114410449665,-3.11759228830985,0.0018233484986498,0.0048943096183591,6.4286383472454,5.35238067201816,7.12044673519128,9.50009000473872
"ABCB1",150.05079074282,-4.15332709699325,0.59422809645699,-6.9894492060489,2.75967502574825e-12,3.34803470584819e-11,0.696094598109374,1.09914960228944,14.3636597934031,5.95601497706417
"ABCB6",60.1473439267658,1.64046483302442,0.566017627184311,2.89825749983267,0.00375242366987683,0.00926797531153009,5.77349049020128,4.44438752230079,0.818442153470262,1.2798048711047
