"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AN_naive_TSC","H9_naive_TSC","AN_naive","H9_naive","AN_naive_TSC","H9_naive_TSC"
"A2M",14.8015002058393,-5.95348909626277,1.88904919210398,-3.15157970536062,0.00162389834783738,0.00478663517975618,0.0409467410652573,0,1.18140266004623,1.72658440758126,0.0409467410652573,0
"A2ML1",190.820926261908,1.44956515934661,0.363190401133135,3.99119898219787,6.57400925704438e-05,0.000273220077451125,12.4478092838382,13.4287407931884,5.04781136565207,5.13042223967004,12.4478092838382,13.4287407931884
"A4GALT",802.682085347572,-1.26224174797097,0.325921667415171,-3.87283778332871,0.000107575431371276,0.000423896135015002,20.5143172736939,23.2255089875074,45.6451027745134,67.2874609125956,20.5143172736939,23.2255089875074
"AADACL2-AS1",90.4127779937609,2.22334004810401,0.701746815125541,3.16829374951458,0.00153336504386814,0.00454235458432331,6.18295790085385,7.59846898974006,0.859201934579076,2.31855620446627,6.18295790085385,7.59846898974006
"AAED1",452.699480655496,2.83486023077176,0.376686831831623,7.52577470517718,5.24086413322312e-14,1.07745178760223e-12,43.8130129398253,30.1071412801021,6.39031438843188,4.68644339200629,43.8130129398253,30.1071412801021
"AAK1",2120.16634647747,3.21425992712578,0.481348105049417,6.67762040279726,2.42853074387781e-11,3.43221957285536e-10,168.413946001403,186.043017465774,11.4381257540839,29.7465827934715,168.413946001403,186.043017465774
"AARS2",1655.06090641494,-2.23500478779916,0.30189685499604,-7.40320659461152,1.32934687511891e-13,2.61110821241509e-12,26.6563284334825,27.0964271520919,160.617061645376,110.698726017496,26.6563284334825,27.0964271520919
"AARSD1",118.419335438556,-1.74977587520034,0.47003533046553,-3.72264755814703,0.000197144623731327,0.000728089330134931,2.98911209776378,2.05493186514983,8.86051995034672,9.32355580093883,2.98911209776378,2.05493186514983
"ABCA1",2591.9366135035,-8.24564008853244,0.330585455548447,-24.9425373988483,2.57308300748317e-137,9.91859172309574e-134,0.900828303435661,0.669047584002269,247.987158367886,266.436639581326,0.900828303435661,0.669047584002269
"ABCA12",75.3586109856048,4.35962402536752,1.05129371064217,4.14691344696096,3.36987379693096e-05,0.000150303974761002,8.63976236476929,4.77891131430192,0.0537001209111922,0.641302779958755,8.63976236476929,4.77891131430192
"ABCA13",28.0441031645339,-6.87985036528647,1.69034665888183,-4.07008250593846,4.69964909655461e-05,0.000201961787680534,0.0409467410652573,0,2.63130592464842,2.91052800135127,0.0409467410652573,0
"ABCA2",61.7402029046573,-3.14139143998,0.668094996499095,-4.70201312154903,2.57608940782607e-06,1.50024815948189e-05,0.45041415171783,0.716836697145289,5.26261184929684,5.7717250196288,0.45041415171783,0.716836697145289
"ABCB8",1844.16325435848,-1.78120046078466,0.375661085674152,-4.74150911209812,2.12132114848402e-06,1.25996343561152e-05,33.4944341913805,43.3447256207185,177.693700095135,106.061613608563,33.4944341913805,43.3447256207185
"ABCB9",108.31648083698,1.61210256020574,0.521586879860909,3.09076516770445,0.00199641456739986,0.00574197280633062,6.38769160618014,8.6976185920295,2.25540507827007,3.05852095057253,6.38769160618014,8.6976185920295
"ABCC10",617.188488857667,-1.19234918788518,0.250475722303491,-4.7603383550301,1.93268673594713e-06,1.15728531190558e-05,18.8764476310836,16.0093529029114,42.3156952780195,43.1646101895316,18.8764476310836,16.0093529029114
"ABCC13",124.719549936775,-10.4725884607766,1.55294836970972,-6.74368102961088,1.54423357591726e-11,2.24627712330832e-10,0,0,14.8212333714891,9.96485858089758,0,0
"ABCC5",1776.74710906349,1.01223494920479,0.210076058434482,4.81842127440942,1.44698598231222e-06,8.86415449394999e-06,106.379633287539,113.690300167243,56.8147279240414,60.4304542653443,106.379633287539,113.690300167243
"ABCD1",201.113329949389,1.20736852885245,0.408126155438248,2.95832186387557,0.00309318963334543,0.00849250195095319,10.973726605489,14.957992413765,6.12181378387592,5.9690489519238,10.973726605489,14.957992413765
"ABCD3",1185.37134288497,1.07120679860729,0.233808730003512,4.58155176066864,4.61538333656808e-06,2.53796703518343e-05,82.5486299875587,66.7136019476549,37.9659854842129,38.1328499160091,82.5486299875587,66.7136019476549
"ABHD11",1418.01702191989,2.15333801621048,0.298339469976924,7.21774432453417,5.28569736387158e-13,9.53218335129075e-12,115.142235875504,99.8792464689102,20.943047155365,30.9305263872415,115.142235875504,99.8792464689102
"ABHD12",417.22997991828,1.31531577674059,0.367231851263176,3.58170396226871,0.000341360481171484,0.00119406471397076,27.2705295494614,27.9088420755232,9.23642079672507,14.6019709898301,27.2705295494614,27.9088420755232
"ABHD12B",1372.13446091829,-4.33141019634662,0.484387209196016,-8.94204081799739,3.82048419687378e-19,1.4509370894482e-17,8.63976236476929,3.4886052594404,153.15274483872,106.702916388522,8.63976236476929,3.4886052594404
"ABHD14A",100.284488646038,-2.22324965583424,0.487959121195073,-4.55622112440325,5.20821080128856e-06,2.82467120453986e-05,1.80165660687132,1.4814625074336,7.6254171693893,8.83024597020132,1.80165660687132,1.4814625074336
"ABI3BP",57.2336483955417,-4.22497228543777,1.14142384483558,-3.7014929244328,0.000214334634306622,0.00078686326818424,0.491360892783088,0.0477891131430192,7.67911729030049,3.10785193364628,0.491360892783088,0.0477891131430192
"ABLIM1",597.960994521715,-1.73947954980162,0.384259354962067,-4.52683721902708,5.98730237523187e-06,3.19438944010629e-05,16.1739627207766,9.51003351546083,39.6306892324599,52.0935181258804,16.1739627207766,9.51003351546083
