"","EVT_a6_1","EVT_a6_2","EVT_b5_1","EVT_b5_2","EVT_d4_1","EVT_d4_2","EVT_wt_1","EVT_wt_2"
"WASH7P",1.16840986602954,0.944225125427718,0.680631099305439,0.835348421548405,0.676556913912699,0.978900434539661,0.831523660673155,1.55952783236298
"FO538757.2",0.350522959808862,0.188845025085544,0.340315549652719,0.151881531190619,0.225518971304233,0.057582378502333,0.720653839250068,0.436667793061636
"FO538757.1",2.16155825215465,2.83267537628315,2.60908588067085,2.05040067107336,2.42432894152051,2.93670130361898,3.32609464269262,2.49524453178078
"AP006222.1",1.81103529234579,1.76255356746507,1.75829700653905,1.51881531190619,1.52225305630357,1.61230659806532,1.16413312494242,1.6219089456575
"RPL23AP24",0.116840986602954,0.314741708475906,0.283596291377266,0,0.169139228478175,0.345494271013998,0.831523660673155,0.499048906356155
"AL732372.1",0.408943453110339,0.440638391866269,0.340315549652719,0.379703827976548,0.394658199782408,0.57582378502333,0.277174553557718,0.124762226589039
"AL732372.2",0.58420493301477,0.188845025085544,0.340315549652719,0.303763062381238,0.225518971304233,0.115164757004666,0.110869821423087,0.311905566472597
"AL669831.3",0.642625426316247,1.0071734671229,0.964227390682705,1.5947560775015,0.620177171086641,0.921318056037328,0.831523660673155,0.810954472828752
"MTND1P23",11.6256781669939,11.0159597966567,10.0960279730307,11.3911148392964,8.06230322412634,6.85230304177763,9.1467602674047,8.92049920111627
"MTND2P28",33.9423066081582,34.74748461574,35.3928171638828,40.8561318902765,26.3857196425953,21.3054800458632,33.9261653554647,29.9429343813693
"MTCO1P12",63.0941327655952,56.7164558673583,58.0238012157886,64.0940061624412,51.9257431427997,46.6993089653921,80.4914903531614,52.2129918275127
"MTCO2P12",31.3718049028932,31.7889125560665,30.6851187270202,32.2748253780066,24.186909672379,21.8237214523842,40.4120499087153,38.4891469027185
"MTATP6P1",288.772498389201,281.693829085936,292.728091959614,319.558741625063,218.471503450976,213.976118514669,427.624901228848,427.497769407341
"MTCO3P12",36.1038648603128,33.4885177818364,39.3631652431645,42.5268287333733,29.8248839549848,27.2940474101058,54.4370823187359,44.2282093258142
"AL669831.1",1.86945578564726,1.19601849220844,1.36126219861088,0.759407655953095,2.08605048456416,0.806153299032662,1.94022187490403,1.99619562542462
"AL669831.5",0.408943453110339,0.944225125427718,0.907508132407251,0.607526124762476,0.281898714130291,0.460659028018664,0.221739642846175,0.623811132945194
"AL669831.4",0.525784439713293,0.314741708475906,0.340315549652719,0.607526124762476,0.563797428260583,0.460659028018664,0.277174553557718,0.374286679767116
"FAM87B",0.350522959808862,0,0,0,0.169139228478175,0.057582378502333,0.110869821423087,0.124762226589039
"LINC01128",12.4435650732146,11.5824948719133,15.3141997343724,17.8460799148977,18.5489353897732,12.6681232705133,11.9739407136934,11.3533626196025
"LINC00115",0.701045919617724,1.57370854237953,1.24782368205997,0.987229952739024,0.845696142390874,0.518241406520997,1.55217749992322,0.623811132945194
"NOC2L",56.4926170225283,72.8312313413247,64.6599544340167,56.423988837315,55.3085277123632,67.4865476047343,61.3110112469673,61.00872880204
"KLHL17",0.350522959808862,0.881276783732537,0.453754066203626,0.455644593571857,0.281898714130291,0.460659028018664,1.88478696419248,2.2457200786027
"PLEKHN1",0.817886906220678,0.0629483416951812,0.226877033101813,0.151881531190619,0.394658199782408,0.287911892511665,0.166304732134631,0.124762226589039
"PERM1",0.175261479904431,0.377690050171087,0.113438516550906,0,0.0563797428260583,0.115164757004666,0.166304732134631,0.124762226589039
"HES4",0,0,0,0,0,0.115164757004666,0.110869821423087,0.187143339883558
"ISG15",69.0530230823459,74.341991542009,61.7105530036931,52.4750690263589,84.2313357821311,77.7937933566519,237.871201863234,159.196601127613
"AL645608.4",0.175261479904431,0.314741708475906,0.17015777482636,0.227822296785929,1.3531138278254,1.26681232705133,0.498914196403893,0.249524453178078
"AL645608.2",0.058420493301477,0.0629483416951812,0.113438516550906,0.151881531190619,0.112759485652117,0.230329514009332,0.110869821423087,0.187143339883558
"AGRN",0.58420493301477,1.13307015051326,0.964227390682705,1.06317071833433,0.845696142390874,1.09406519154433,2.05109169632712,1.87143339883558
"AL390719.1",3.5636500913901,2.95857205967352,1.58813923171269,2.96168985821707,2.81898714130291,2.82153654661432,1.94022187490403,1.9338145121301
"AL645608.9",0,0,0,0,0,0,0,0.0623811132945194
"RNF223",0.408943453110339,0.755380100342175,0.964227390682705,0.531585359167167,1.01483537086905,0.460659028018664,0.498914196403893,0.436667793061636
"C1orf159",4.20627551770635,5.47650572748077,6.01224137719804,3.56921598297955,4.39761994043255,7.02505017728463,10.4217632137702,7.29859025545877
"TTLL10-AS1",0.350522959808862,0.566535075256631,0.0567192582754532,0.0759407655953095,0.281898714130291,0.403076649516331,0.997828392807786,0.499048906356155
"TTLL10",0,0.0629483416951812,0.0567192582754532,0,0.507417685434525,0.057582378502333,0.443479285692349,0.748573359534233
"TNFRSF18",0.116840986602954,0.50358673356145,0.17015777482636,0.0759407655953095,0.33827845695635,0.115164757004666,0.166304732134631,0.436667793061636
"SDF4",5.72520834354475,6.29483416951812,6.74959173477893,6.30308354441069,5.29969582564948,7.54329158380562,9.97828392807786,10.2305025803012
"B3GALT6",0.759466412919201,0.377690050171087,0.850788874131798,0.379703827976548,0.563797428260583,0.806153299032662,0.997828392807786,1.18524115259587
"C1QTNF12",0.467363946411816,0.377690050171087,0.283596291377266,0.0759407655953095,0.281898714130291,0.690988542027996,0.554349107115437,0.99809781271231
"UBE2J2",19.5124447626933,18.8845025085544,17.2993737740132,12.4542855576308,15.6735685056442,38.7529407320701,29.0478932128489,21.6462463131982
"SCNN1D",0.058420493301477,0.0629483416951812,0.283596291377266,0.0759407655953095,0,0.172747135506999,0,0.124762226589039
"ACAP3",1.22683035933102,1.88845025085544,0.680631099305439,0.835348421548405,0.845696142390874,1.38197708405599,2.05109169632712,1.49714671906847
"PUSL1",18.5192963765682,20.6470560760194,17.4128122905641,15.4919161814431,16.6320241336872,19.9810853403096,17.4065619634247,16.9052817028148
"INTS11",140.79338885656,139.682370221607,131.758836973878,107.152420254982,126.065104959066,135.894413265506,147.401427581995,135.242253622518
"AL139287.1",1.16840986602954,0.818328442037356,1.19110442378452,1.06317071833433,1.01483537086905,0.690988542027996,0.720653839250068,0.748573359534233
"CPTP",1.57735331913988,2.39203698441689,1.7015777482636,1.97445990547805,2.25518971304233,3.45494271013998,2.82718044628873,4.92810795026703
"DVL1",4.49837798421373,5.85419577765185,5.61520656926987,6.60684660679193,5.07417685434525,6.73713828477296,6.92936383894296,5.73906242309578
"MXRA8",33.4165221684449,34.9992779825208,29.664172078062,32.5026476747925,28.5845296128116,32.5916262323205,58.3729609792555,58.6382464968482
"AURKAIP1",48.3137479603215,55.7722307419306,53.316102778926,52.3231874951683,53.3916164562772,58.3885318013657,55.2131710686975,56.0182397384784
"NDUFB4P8",0.116840986602954,0.314741708475906,0.17015777482636,0.0759407655953095,0.0563797428260583,0,0.0554349107115437,0
"CCNL2",125.896163064683,125.770786706972,124.101737106692,121.657106483686,101.821815543861,112.05530856554,117.910055083453,112.847433949786
"AL391244.1",27.5744728382972,26.3753551702809,28.3596291377266,26.503327192763,24.5251881293354,25.3938289195289,26.2761476772717,27.510070962883
"MRPL20",65.7230549641617,68.2989507392716,71.9200194932747,70.4730304724472,71.2639949321377,61.037321212473,68.2958099966218,73.5473325742384
"AL391244.3",0.99314838612511,0.881276783732537,1.02094664895816,0.683466890357786,0.281898714130291,0.748570920530329,0.277174553557718,0.99809781271231
"ANKRD65",0.233681973205908,0.125896683390362,0.737350357580892,0.455644593571857,0.225518971304233,0.345494271013998,0.166304732134631,0
"AL391244.2",0.058420493301477,0,0.113438516550906,0.227822296785929,0,0.230329514009332,0,0
"LINC01770",0.408943453110339,0.566535075256631,0.283596291377266,0.0759407655953095,0.451037942608466,0.230329514009332,0.277174553557718,0.810954472828752
"VWA1",5.78362883684623,9.50519959597236,7.77053838373709,6.98655043476848,6.54005016782276,6.6219735277683,7.53914785676994,8.047163614993
"ATAD3C",1.92787627894874,1.44781185898917,1.75829700653905,1.29099301512026,0.789316399564816,0.921318056037328,0.942393482096242,1.68429005895202
"ATAD3B",9.58096090144223,10.4494247214001,9.18851984062342,8.27754344988874,8.56972090956086,13.4166941910436,6.76305910680833,7.17382802886973
"AL645728.2",0.876307399522155,0.0629483416951812,0.226877033101813,0.455644593571857,0.281898714130291,0.345494271013998,0.166304732134631,0.187143339883558
"ATAD3A",1.98629677225022,2.32908864272171,2.83596291377266,2.20228220226398,1.97329099891204,4.54900790168431,2.77174553557718,2.30810119189722
"SSU72",112.459449605343,108.208199374017,118.089495729494,126.745137778572,125.106649331023,126.911562219142,89.7491204419892,78.2882971846218
"AL645728.1",1.22683035933102,0.440638391866269,0.340315549652719,0.531585359167167,0.620177171086641,0.690988542027996,0.942393482096242,0.374286679767116
"FNDC10",0.350522959808862,0.50358673356145,0.226877033101813,0,0.507417685434525,0.460659028018664,0.277174553557718,0.873335586123271
"AL691432.2",1.98629677225022,1.38486351729399,1.41798145688633,1.5947560775015,1.3531138278254,2.47604227560032,0.942393482096242,1.68429005895202
"MIB2",1.22683035933102,0.881276783732537,1.7015777482636,1.82257837428743,1.18397459934722,1.55472421956299,1.05326330351933,1.43476560577395
"CDK11B",17.0587840440313,17.9402773831266,17.0724967409114,17.8460799148977,18.379796161295,19.5780086907932,17.129387409867,17.5290928357599
"SLC35E2B",20.7976956153258,22.7243513519604,19.1711092971032,18.8333098676368,20.8041251028155,24.3573461064869,25.2783192844639,24.7653019779242
"AL691432.1",0.99314838612511,0.881276783732537,0.850788874131798,0.987229952739024,0.225518971304233,0.518241406520997,1.60761241063477,0.374286679767116
