"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","EVT_wt_1","EVT_wt_2"
"WASH7P",15.7419562920718,-0.292548189816817,0.457259530620777,-0.639785877004363,0.522311815534951,0.65838444673753,0.831523660673155,1.55952783236298
"FO538757.1",42.8699432017354,-0.0787279947117526,0.279487596320769,-0.281686900413986,0.77818359987656,0.854436338383647,3.32609464269262,2.49524453178078
"AP006222.1",26.4419750385076,0.405568165270501,0.348377388263235,1.16416328652206,0.244357845418947,0.386658499383426,1.16413312494242,1.6219089456575
"AL669831.3",15.3054409560041,0.345543278661661,0.496357670730466,0.696157829399798,0.486329993895396,0.627282395723848,0.831523660673155,0.810954472828752
"MTND1P23",159.542984710667,0.262304819396898,0.215646088351825,1.21636715695464,0.223845089293531,0.36256106306988,9.1467602674047,8.92049920111627
"MTND2P28",530.029369201244,0.148306656059452,0.203247519724242,0.729684948975849,0.465582783202448,0.608971076806617,33.9261653554647,29.9429343813693
"MTCO1P12",974.400666781481,-0.085636723774266,0.164414547374714,-0.520858556263232,0.602465307866319,0.723430638699268,80.4914903531614,52.2129918275127
"MTCO2P12",515.329612663912,-0.319280976604406,0.160943903615863,-1.98380286193666,0.047277820977246,0.108311527323806,40.4120499087153,38.4891469027185
"MTATP6P1",5055.17871928852,-0.525793494149509,0.149504977283381,-3.5168962512391,0.000436624407917781,0.00204933740206535,427.624901228848,427.497769407341
"MTCO3P12",630.296204398395,-0.365143255182954,0.166842683664245,-2.18854820099735,0.0286296942334519,0.0724297206047212,54.4370823187359,44.2282093258142
"AL669831.1",24.6189719215181,-0.39629347797731,0.426626496180845,-0.928900294578335,0.352940760318827,0.504040835798049,1.94022187490403,1.99619562542462
"LINC01128",231.471387873734,0.475589752319267,0.196809596126802,2.41649676478606,0.0156706654917029,0.0438622447732881,11.9739407136934,11.3533626196025
"LINC00115",16.6157302057467,-0.0231215465784592,0.529569003799428,-0.0436610647763976,0.965174575409577,0.978090007256134,1.55217749992322,0.623811132945194
"NOC2L",1022.98873155374,0.164993019790191,0.121421990749515,1.35883968605456,0.174197394536344,0.299818804692278,61.3110112469673,61.00872880204
